depth,avg_time_ns,avg_nodes_expanded
1,153311.5,9.0
2,410778.0,36.25
3,1185267.2,77.4
4,1884777.6,174.2
5,3771419.4,350.8
6,11956890.0,964.2
7,20255647.2,1713.8
8,28206152.4,2375.6
9,51332526.0,4439.8
10,141194712.6,8387.4
11,112456954.8,9514.0
12,194194967.8,13916.4
13,263537640.4,21537.6
14,613338974.8,46441.4
15,1170964674.8,85067.0
16,1917102026.6,135084.8
17,2923956082.2,206033.4
18,6259169260.8,427326.2
19,5713945010.2,395876.8
20,6820005909.6,469995.0
