depth,avg_time_ns,avg_nodes_expanded,avg_optimality_ratio
1,11680.0,1.0,1.0
2,14501.25,2.0,1.0
3,23529.6,3.0,1.0
4,25383.4,4.0,1.0
5,29778.0,5.0,1.0
6,35376.8,6.6,1.0
7,42732.8,7.4,1.0
8,53558.4,8.2,1.0
9,75490.2,11.6,1.0
10,155373.6,16.8,1.0
11,78289.0,13.4,1.0
12,134292.4,22.6,1.0
13,188123.0,31.8,1.0
14,374165.2,64.6,1.0
15,347765.0,58.2,1.0
16,491041.6,75.8,1.0
17,863858.4,125.8,1.0
18,2205394.2,255.2,1.0
19,2706592.6,388.2,1.0
20,4876290.6,648.4,1.0
