depth,avg_time_ns,avg_nodes_expanded,avg_optimality_ratio
1,42601.5,1.0,1.0
2,61966.75,2.0,1.0
3,107843.8,3.0,1.0
4,96217.0,4.0,1.0
5,81807.8,5.0,1.0
6,88160.2,6.4,1.0
7,116499.2,7.2,1.0
8,227147.0,8.0,1.0
9,132747.6,9.0,1.0
10,156596.8,11.2,1.0
11,171875.8,12.0,1.0
12,222482.4,15.8,1.0
13,217866.6,15.6,1.0
14,271561.2,19.8,1.0
15,380244.8,28.6,1.0
16,649610.6,33.0,1.0
17,425792.4,30.0,1.0
18,606719.2,47.0,1.0
19,509015.4,39.8,1.0
20,505481.4,38.4,1.0
