depth,avg_time_ns,avg_nodes,win_rate,draw_rate,loss_rate
1,20561.065217391304,5.339130434782609,0.66,0.04,0.3
2,17952.640909090907,5.5181818181818185,0.48,0.1,0.42
3,17844.696832579186,5.497737556561086,0.6,0.06,0.34
4,22092.698630136987,5.538812785388128,0.52,0.02,0.46
5,18585.075117370892,5.657276995305164,0.46,0.04,0.5
6,25563.053571428572,5.410714285714286,0.64,0.04,0.32
