depth,avg_time_ns,avg_nodes,win_rate,draw_rate,loss_rate
1,83876.50299401197,6.5568862275449105,0.88,0.0,0.12
2,635729.3771428572,44.394285714285715,0.94,0.04,0.02
3,1476881.9360465116,118.81976744186046,0.98,0.0,0.02
4,5138273.016949153,348.01129943502826,0.9,0.04,0.06
5,23369091.48780488,907.9268292682926,1.0,0.0,0.0
6,49355516.01829268,2050.256097560976,1.0,0.0,0.0
