depth,avg_time_ns,avg_nodes,win_rate,draw_rate,loss_rate
1,313918.8630952381,6.559523809523809,0.88,0.02,0.1
2,2149028.6033519553,43.502793296089386,0.88,0.12,0.0
3,12762832.878453039,253.56906077348066,0.96,0.04,0.0
4,33606518.95209581,1420.197604790419,0.9,0.02,0.08
5,75072683.78658536,6687.90243902439,1.0,0.0,0.0
6,309550502.18235296,23314.45294117647,1.0,0.0,0.0
