depth,avg_time_ns,avg_nodes_expanded
1,301226.5,8.0
2,709738.75,22.5
3,1834283.2,58.0
4,3124951.6,117.6
5,5775160.6,226.8
6,16535303.4,539.8
7,23304530.8,875.6
8,38569153.4,1240.0
9,53688214.0,2114.6
10,123848251.2,3744.0
11,129939829.6,4674.0
12,186581146.6,6686.0
13,247575900.8,9943.0
14,488713766.8,19301.4
15,747588410.2,30156.8
16,1162699170.0,45271.6
17,1647804532.4,64623.4
18,2982450446.4,118390.2
19,2918770097.4,114589.0
20,3246938997.6,129652.8
