depth,avg_time_ns,avg_nodes_expanded
1,23832.5,1.0
2,16800.0,2.0
3,21205.6,3.0
4,27162.4,4.0
5,30873.0,5.0
6,36503.8,6.6
7,41877.8,7.4
8,47728.6,8.2
9,64363.4,11.6
10,95922.0,16.8
11,76458.2,13.4
12,136043.6,22.6
13,195327.0,31.8
14,538571.6,64.6
15,457040.8,58.2
