depth,avg_time_ns,avg_nodes,win_rate,draw_rate,loss_rate
1,80089.02395209581,6.5568862275449105,0.86,0.04,0.1
2,553985.1573033708,43.82022471910113,0.86,0.12,0.02
3,1550890.9122807018,119.37426900584795,0.96,0.02,0.02
4,4943128.17816092,350.367816091954,0.98,0.0,0.02
5,10909013.63030303,894.2363636363636,1.0,0.0,0.0
