stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:835:0:3","Museumsquartier","48.20291323","16.36106119","0100"
"at:49:835:0:4","Museumsquartier","48.20285935","16.36098034","0100"
"at:49:835:0:5","Museumsquartier","48.20274559","16.36093542","0100"
"at:49:835:0:6","Museumsquartier U","48.20275157","16.36244459","0100"
"at:49:838:0:1","MarienbrÃ¼cke","48.21319825","16.37742849","0100"
"at:49:839:0:1","MarkomannenstraÃŸe","48.25033999","16.45474649","0100"
"at:49:839:0:2","MarkomannenstraÃŸe","48.25020242","16.45495310","0100"
"at:49:84:0:1","Arsenal","48.18352892","16.38432755","0100"
"at:49:84:0:2","Arsenal","48.18370262","16.38410297","0100"
"at:49:840:0:1","Maroltingergasse","48.21347360","16.30606632","0100"
"at:49:840:0:10","Maroltingergasse","48.21344966","16.30708142","0100"
"at:49:840:0:11","Maroltingergasse","48.21441339","16.30575191","0100"
"at:49:840:0:2","Maroltingergasse","48.21377290","16.30660531","0100"
"at:49:840:0:3","Maroltingergasse","48.21343170","16.30718922","0100"
"at:49:840:0:4","Maroltingergasse","48.21348557","16.30595853","0100"
"at:49:840:0:6","Maroltingergasse","48.21340776","16.30735990","0100"
"at:49:840:0:7","Maroltingergasse","48.21384473","16.30662328","0100"
"at:49:840:0:8","Maroltingergasse","48.21306057","16.30645260","0100"
"at:49:841:0:1","Marschallplatz","48.16571908","16.30366782","0100"
"at:49:841:0:2","Marschallplatz","48.16571309","16.30352409","0100"
"at:49:842:0:1","Schwarzenbergallee","48.24017611","16.27764363","0100"
"at:49:842:0:2","Schwarzenbergallee","48.24009235","16.27770651","0100"
"at:49:843:0:1","MartinstraÃŸe","48.22665305","16.34169351","0100"
"at:49:843:0:2","MartinstraÃŸe","48.22661116","16.34270860","0100"
"at:49:843:0:3","MartinstraÃŸe","48.22659919","16.34282539","0100"
"at:49:843:0:4","MartinstraÃŸe","48.22664108","16.34181029","0100"
"at:49:844:0:1","Marx-Meidlinger-StraÃŸe","48.18036638","16.34393930","0100"
"at:49:844:0:3","Marx-Meidlinger-StraÃŸe","48.18059399","16.34449625","0100"
"at:49:845:0:2","Marxergasse","48.20796021","16.38653741","0100"
"at:49:845:0:4","Marxergasse","48.20717596","16.38652842","0100"
"at:49:846:0:1","Matschgasse","48.20874445","16.29070513","0100"
"at:49:846:0:2","Matschgasse","48.20872649","16.29089378","0100"
"at:49:847:0:1","Marderweg","48.20536793","16.47452739","0100"
"at:49:848:0:1","MatthÃ¤us-Jiszda-StraÃŸe","48.25412626","16.39649972","0100"
"at:49:848:0:4","MatthÃ¤us-Jiszda-StraÃŸe","48.25373149","16.39518818","0100"
"at:49:848:0:5","MatthÃ¤us-Jiszda-StraÃŸe","48.25414420","16.39453241","0100"
"at:49:848:0:7","MatthÃ¤us-Jiszda-StraÃŸe","48.25382121","16.39479292","0100"
"at:49:849:0:10","Matzleinsdorfer Platz S","48.18092343","16.35945320","0100"
"at:49:849:0:12","Matzleinsdorfer Platz S","48.18053409","16.35859980","0100"
