route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"23-59A-j25-1","04","59A","Oper/Karlsplatz - Bhf. Meidling","3","0A295D","FFFFFF"
"23-59A-j25-2","04","59A","Oper/Karlsplatz - Bhf. Meidling","3","0A295D","FFFFFF"
"23-5A-j25-1","04","5A","Nestroyplatz - Griegstraße","3","0A295D","FFFFFF"
"23-5A-j25-24","04","5A","Nestroyplatz - Griegstraße","3","0A295D","FFFFFF"
"23-5A-j25-31","04","5A","Nestroyplatz - Griegstraße","3","0A295D","FFFFFF"
"23-5B-j25-1","04","5B","Heiligenstadt - Praterstern","3","0A295D","FFFFFF"
"23-5B-j25-24","04","5B","Praterstern - Heiligenstadt","3","0A295D","FFFFFF"
"23-5B-j25-31","04","5B","Praterstern - Heiligenstadt","3","0A295D","FFFFFF"
"23-5B-j25-91","04","5B","Heiligenstadt - Praterstern","3","0A295D","FFFFFF"
"23-60A-j25-1","04","60A","Alterlaa - Liesing","3","0A295D","FFFFFF"
"23-60A-j25-24","04","60A","Alterlaa - Liesing","3","0A295D","FFFFFF"
"23-60A-j25-3","04","60A","Alterlaa - Liesing","3","0A295D","FFFFFF"
"23-60A-j25-31","04","60A","Alterlaa - Liesing","3","0A295D","FFFFFF"
"23-61A-j25-1","04","61A","Liesing - Vösendorf-Siebenhirten","3","0A295D","FFFFFF"
"23-61B-j25-1","04","61B","Liesing - Vösendorf-Siebenhirten","3","0A295D","FFFFFF"
"23-62A-j25-1","04","62A","Meidling, Eichenstr. - Liesing","3","0A295D","FFFFFF"
"23-63A-j25-1","04","63A","Gesundheitszentrum Süd - Am Rosenhügel","3","0A295D","FFFFFF"
"23-64A-j25-1","04","64A","Atzgersdorf, Ziedlergasse - Liesing","3","0A295D","FFFFFF"
"23-64B-j25-1","04","64B","Hetzendorf - Alterlaa","3","0A295D","FFFFFF"
"23-64B-j25-2","04","64B","Hetzendorf - Alterlaa","3","0A295D","FFFFFF"
"23-64B-j25-3","04","64B","Hetzendorf - Alterlaa","3","0A295D","FFFFFF"
"23-65A-j25-1","04","65A","Reumannplatz - Wienerberg City","3","0A295D","FFFFFF"
"23-65A-j25-24","04","65A","Reumannplatz - Wienerberg City","3","0A295D","FFFFFF"
"23-65A-j25-90","04","65A","Reumannplatz - Wienerberg City Baustellenfahrplan gültig bis voraussichtlich April 2025","3","0A295D","FFFFFF"
"23-66A-j25-1","04","66A","Reumannplatz - Liesing","3","0A295D","FFFFFF"
"23-67A-j25-1","04","67A","Alaudagasse - Inzersdorf,Slamastraße","3","0A295D","FFFFFF"
"23-67A-j25-24","04","67A","Alaudagasse - Inzersdorf, Slamastraße","3","0A295D","FFFFFF"
"23-67A-j25-31","04","67A","Alaudagasse - Inzersdorf, Slamastraße","3","0A295D","FFFFFF"
"23-67B-j25-1","04","67B","Alaudagasse - Alterlaa","3","0A295D","FFFFFF"
"23-67B-j25-24","04","67B","Alaudagasse - Alterlaa","3","0A295D","FFFFFF"
"23-67B-j25-31","04","67B","Alaudagasse - Alterlaa","3","0A295D","FFFFFF"
"23-68A-j25-1","04","68A","Reumannplatz - Kurpark Nordosteingang","3","0A295D","FFFFFF"
"23-68A-j25-24","04","68A","Reumannplatz - Kurpark Nordosteingang","3","0A295D","FFFFFF"
"23-68A-j25-3","04","68A","Reumannplatz - Kurpark Nordosteingang","3","0A295D","FFFFFF"
"23-68A-j25-31","04","68A","Reumannplatz - Kurpark Nordosteingang","3","0A295D","FFFFFF"
"23-68B-j25-1","04","68B","Reumannplatz - Oberlaa","3","0A295D","FFFFFF"
"23-68B-j25-24","04","68B","Reumannplatz - Oberlaa","3","0A295D","FFFFFF"
"23-68B-j25-3","04","68B","Reumannplatz - Oberlaa","3","0A295D","FFFFFF"
"23-68B-j25-31","04","68B","Reumannplatz - Oberlaa","3","0A295D","FFFFFF"
"23-69A-j25-1","04","69A","Hauptbahnhof - Simmering","3","0A295D","FFFFFF"
"23-70A-j25-1","04","70A","Oberlaa - Kledering Bahnhof","3","0A295D","FFFFFF"
"23-71A-j25-1","04","71A","Zentralfriedhof 3.Tor - Schwechat Bahnhof","3","0A295D","FFFFFF"
"23-71A-j25-2","04","71A","Zentralfriedhof 3.Tor - Schwechat Bahnhof","3","0A295D","FFFFFF"
"23-71B-j25-1","04","71B","Zentralfriedhof 3. Tor - Kaiserebersdorf","3","0A295D","FFFFFF"
"23-71B-j25-2","04","71B","Zentralfriedhof 3. Tor - Kaiserebersdorf","3","0A295D","FFFFFF"
"23-72A-j25-1","04","72A","Gasometer - Hasenleiten","3","0A295D","FFFFFF"
"23-72A-j25-24","04","72A","Gasometer - Hasenleiten","3","0A295D","FFFFFF"
"23-72A-j25-31","04","72A","Gasometer - Hasenleiten","3","0A295D","FFFFFF"
"23-73A-j25-1","04","73A","Simmering - Landwehrstraße","3","0A295D","FFFFFF"
"23-73A-j25-24","04","73A","Simmering - Landwehrstraße","3","0A295D","FFFFFF"
"23-73A-j25-31","04","73A","Simmering - Landwehrstraße","3","0A295D","FFFFFF"
"23-73B-j25-1","04","73B","Zentralfriedhof 3.Tor - Kaiserebersdorf","3","0A295D","FFFFFF"
"23-74A-j25-1","04","74A","Stubentor - St. Marx/Leberstraße","3","0A295D","FFFFFF"
"23-74A-j25-2","04","74A","Stubentor - Grasbergergasse Baustellenfahrplan gültig von 18.03. bis Ende April 2025","3","0A295D","FFFFFF"
"23-74A-j25-4","04","74A","Stubentor - St. Marx/Leberstraße","3","0A295D","FFFFFF"
"23-76A-j25-1","04","76A","Enkplatz/Grillgasse - Alberner Hafen","3","0A295D","FFFFFF"
